panel,pixel_x,temperature_K,upper_boundary_pixel_y,upper_boundary_w_m_s,upper_boundary_log_w_ln_m_s,lower_boundary_pixel_y,lower_boundary_w_m_s,lower_boundary_log_w_ln_m_s,direct_digitization,validity,edge_detector,vertical_color_run_pixels
upper_period_map,173,205.35326086956522,112,0.15555761955154382,-1.860739072257394,228,0.009258851061397087,-4.682175313465122,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,174,205.4891304347826,112,0.15555761955154382,-1.860739072257394,228,0.009258851061397087,-4.682175313465122,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,175,205.625,112,0.15555761955154382,-1.860739072257394,227,0.009486812646156839,-4.657852587247814,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,176,205.7608695652174,111,0.15938759383661155,-1.836416346040086,227,0.009486812646156839,-4.657852587247814,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,177,205.89673913043478,111,0.15938759383661155,-1.836416346040086,226,0.009720386858636963,-4.633529861030507,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,178,206.0326086956522,110,0.16331186567564396,-1.8120936198227782,226,0.009720386858636963,-4.633529861030507,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,179,206.16847826086956,110,0.16331186567564396,-1.8120936198227782,226,0.009720386858636963,-4.633529861030507,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,180,206.30434782608697,108,0.17145264595426812,-1.763448167388162,225,0.009959711886988631,-4.6092071348131975,True,direct_edge_detected,largest high-saturation contiguous vertical run,118
upper_period_map,181,206.44021739130434,109,0.16733275676273662,-1.78777089360547,225,0.009959711886988631,-4.6092071348131975,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,182,206.57608695652175,109,0.16733275676273662,-1.78777089360547,224,0.010204929321684653,-4.58488440859589,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,183,206.71195652173913,108,0.17145264595426812,-1.763448167388162,224,0.010204929321684653,-4.58488440859589,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,184,206.84782608695653,108,0.17145264595426812,-1.763448167388162,223,0.01045618423928793,-4.560561682378583,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,185,206.9836956521739,106,0.17999922836656246,-1.714802714953546,223,0.01045618423928793,-4.560561682378583,True,direct_edge_detected,largest high-saturation contiguous vertical run,118
upper_period_map,186,207.1195652173913,107,0.17567397067628912,-1.739125441170854,223,0.01045618423928793,-4.560561682378583,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,187,207.2554347826087,107,0.17567397067628912,-1.739125441170854,222,0.010713625288282215,-4.536238956161275,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,188,207.3913043478261,106,0.17999922836656246,-1.714802714953546,222,0.010713625288282215,-4.536238956161275,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,189,207.52717391304347,106,0.17999922836656246,-1.714802714953546,221,0.010977404777016137,-4.511916229943966,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,190,207.66304347826087,105,0.18443097795210778,-1.690479988736238,221,0.010977404777016137,-4.511916229943966,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,191,207.79891304347825,105,0.18443097795210778,-1.690479988736238,221,0.010977404777016137,-4.511916229943966,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,192,207.93478260869566,104,0.1889718413631245,-1.66615726251893,220,0.011247678763812524,-4.487593503726659,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,193,208.07065217391303,104,0.1889718413631245,-1.66615726251893,220,0.011247678763812524,-4.487593503726659,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,194,208.20652173913044,104,0.1889718413631245,-1.66615726251893,219,0.011524607149296274,-4.463270777509351,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,195,208.3423913043478,103,0.1936245050841893,-1.641834536301622,219,0.011524607149296274,-4.463270777509351,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,196,208.47826086956522,103,0.1936245050841893,-1.641834536301622,219,0.011524607149296274,-4.463270777509351,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,197,208.61413043478262,102,0.19839172174364514,-1.6175118100843138,218,0.011808353770995426,-4.4389480512920425,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,198,208.75,102,0.19839172174364514,-1.6175118100843138,218,0.011808353770995426,-4.4389480512920425,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,199,208.88586956521738,102,0.19839172174364514,-1.6175118100843138,217,0.012099086500271408,-4.414625325074734,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,200,209.02173913043478,101,0.20327631174212285,-1.593189083867006,217,0.012099086500271408,-4.414625325074734,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,201,209.1576086956522,101,0.20327631174212285,-1.593189083867006,218,0.011808353770995426,-4.4389480512920425,True,direct_edge_detected,largest high-saturation contiguous vertical run,118
upper_period_map,202,209.29347826086956,100,0.2082811649211584,-1.568866357649698,216,0.012396977341635789,-4.390302598857427,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,203,209.42934782608697,100,0.2082811649211584,-1.568866357649698,216,0.012396977341635789,-4.390302598857427,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,204,209.56521739130434,100,0.2082811649211584,-1.568866357649698,215,0.01270220253451231,-4.365979872640119,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,205,209.70108695652175,99,0.21340924227289257,-1.5445436314323908,215,0.01270220253451231,-4.365979872640119,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,206,209.83695652173913,99,0.21340924227289257,-1.5445436314323908,214,0.013014942657504386,-4.34165714642281,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,207,209.97282608695653,98,0.21866357769186662,-1.520220905215083,214,0.013014942657504386,-4.34165714642281,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,208,210.1086956521739,98,0.21866357769186662,-1.520220905215083,213,0.013335382735229773,-4.317334420205502,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,209,210.2445652173913,96,0.22956353363544035,-1.4715754527804668,213,0.013335382735229773,-4.317334420205502,True,direct_edge_detected,largest high-saturation contiguous vertical run,118
upper_period_map,210,210.3804347826087,97,0.2240472797699462,-1.495898178997775,213,0.013335382735229773,-4.317334420205502,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,211,210.5163043478261,97,0.2240472797699462,-1.495898178997775,212,0.013663712347785607,-4.293011693988195,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,212,210.65217391304347,96,0.22956353363544035,-1.4715754527804668,212,0.013663712347785607,-4.293011693988195,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,213,210.78804347826087,96,0.22956353363544035,-1.4715754527804668,211,0.014000125742908572,-4.268688967770887,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,214,210.92391304347825,94,0.24100683127691344,-1.4229300003458507,211,0.014000125742908572,-4.268688967770887,True,direct_edge_detected,largest high-saturation contiguous vertical run,118
upper_period_map,215,211.05978260869566,95,0.23521560283750018,-1.4472527265631587,211,0.014000125742908572,-4.268688967770887,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,216,211.19565217391303,95,0.23521560283750018,-1.4472527265631587,210,0.014344821950896557,-4.244366241553578,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,217,211.33152173913044,93,0.24694064518443717,-1.398607274128543,210,0.014344821950896557,-4.244366241553578,True,direct_edge_detected,largest high-saturation contiguous vertical run,118
upper_period_map,218,211.4673913043478,94,0.24100683127691344,-1.4229300003458507,209,0.01469800490235979,-4.22004351533627,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,219,211.60326086956522,92,0.25302055514783856,-1.3742845479112347,209,0.01469800490235979,-4.22004351533627,True,direct_edge_detected,largest high-saturation contiguous vertical run,118
upper_period_map,220,211.73913043478262,93,0.24694064518443717,-1.398607274128543,209,0.01469800490235979,-4.22004351533627,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,221,211.875,93,0.24694064518443717,-1.398607274128543,208,0.015059883548871122,-4.195720789118963,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,222,212.01086956521738,92,0.25302055514783856,-1.3742845479112347,208,0.015059883548871122,-4.195720789118963,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,223,212.14673913043478,92,0.25302055514783856,-1.3742845479112347,207,0.015430671986586828,-4.1713980629016545,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,224,212.2826086956522,90,0.26563313989122167,-1.3256390954766186,207,0.015430671986586828,-4.1713980629016545,True,direct_edge_detected,largest high-saturation contiguous vertical run,118
upper_period_map,225,212.41847826086956,91,0.25925015818884345,-1.3499618216939269,207,0.015430671986586828,-4.1713980629016545,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,226,212.55434782608697,91,0.25925015818884345,-1.3499618216939269,206,0.015810589582911063,-4.147075336684346,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,227,212.69021739130434,90,0.26563313989122167,-1.3256390954766186,206,0.015810589582911063,-4.147075336684346,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,228,212.82608695652175,90,0.26563313989122167,-1.3256390954766186,205,0.016199861106278936,-4.122752610467038,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,229,212.96195652173913,90,0.26563313989122167,-1.3256390954766186,205,0.016199861106278936,-4.122752610467038,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,230,213.09782608695653,89,0.27217327658126705,-1.3013163692593108,205,0.016199861106278936,-4.122752610467038,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,231,213.2336956521739,89,0.27217327658126705,-1.3013163692593108,204,0.01659871685913493,-4.098429884249731,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,232,213.3695652173913,88,0.27887443756196384,-1.2769936430420028,204,0.01659871685913493,-4.098429884249731,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,233,213.5054347826087,88,0.27887443756196384,-1.2769936430420028,203,0.017007392814185413,-4.074107158032422,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,234,213.6413043478261,88,0.27887443756196384,-1.2769936430420028,203,0.017007392814185413,-4.074107158032422,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,235,213.77717391304347,87,0.2857405874021595,-1.2526709168246948,203,0.017007392814185413,-4.074107158032422,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,236,213.91304347826087,87,0.2857405874021595,-1.2526709168246948,202,0.017426130754005793,-4.049784431815114,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,237,214.04891304347825,86,0.2927757882820997,-1.2283481906073865,202,0.017426130754005793,-4.049784431815114,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,238,214.18478260869566,86,0.2927757882820997,-1.2283481906073865,201,0.01785517841408493,-4.025461705597806,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,239,214.32065217391303,86,0.2927757882820997,-1.2283481906073865,201,0.01785517841408493,-4.025461705597806,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,240,214.45652173913044,85,0.29998420239671225,-1.2040254643900787,201,0.01785517841408493,-4.025461705597806,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,241,214.5923913043478,85,0.29998420239671225,-1.2040254643900787,200,0.018294789629391437,-4.001138979380499,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,242,214.72826086956522,85,0.29998420239671225,-1.2040254643900787,200,0.018294789629391437,-4.001138979380499,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,243,214.86413043478262,84,0.30737009441806235,-1.1797027381727707,200,0.018294789629391437,-4.001138979380499,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,244,215.0,84,0.30737009441806235,-1.1797027381727707,199,0.018745224484548604,-3.9768162531631903,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,245,215.13586956521738,82,0.32269189845554197,-1.1310572857381547,199,0.018745224484548604,-3.9768162531631903,True,direct_edge_detected,largest high-saturation contiguous vertical run,118
upper_period_map,246,215.27173913043478,83,0.3149378340184356,-1.1553800119554627,198,0.01920674946770672,-3.9524935269458825,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,247,215.4076086956522,83,0.3149378340184356,-1.1553800119554627,198,0.01920674946770672,-3.9524935269458825,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,248,215.54347826086956,82,0.32269189845554197,-1.1310572857381547,197,0.019679637628203926,-3.9281708007285747,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,249,215.67934782608697,82,0.32269189845554197,-1.1310572857381547,197,0.019679637628203926,-3.9281708007285747,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,250,215.81521739130434,82,0.32269189845554197,-1.1310572857381547,197,0.019679637628203926,-3.9281708007285747,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,251,215.95108695652175,81,0.3306368752213692,-1.1067345595208467,196,0.020164168738108817,-3.903848074511267,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,252,216.08695652173913,81,0.3306368752213692,-1.1067345595208467,196,0.020164168738108817,-3.903848074511267,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,253,216.22282608695653,80,0.3387774647562547,-1.0824118333035386,196,0.020164168738108817,-3.903848074511267,True,direct_edge_detected,largest high-saturation contiguous vertical run,117
upper_period_map,254,216.3586956521739,80,0.3387774647562547,-1.0824118333035386,195,0.020660629457740325,-3.8795253482939587,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
upper_period_map,255,216.4945652173913,80,0.3387774647562547,-1.0824118333035386,195,0.020660629457740325,-3.8795253482939587,True,direct_edge_detected,largest high-saturation contiguous vertical run,116
