branch_id,backend_a,backend_b,canonical_index,T_K,log_w_a,log_w_b,w_m_s_a,w_m_s_b,delta_log_w_a_minus_b,delta_w_m_s_a_minus_b,relative_delta_w_a_minus_b
lower_hopf,python,loca,23,213.0,-4.136986711229485,-4.136986424878305,0.015970904015831823,0.01597090858911969,-2.863511801010077e-07,-4.573287866460607e-09,-2.8635113906895666e-07
lower_hopf,python,loca,24,214.0,-4.065862193678466,-4.065863105831142,0.017148197830208177,0.01714818218844077,9.121526760580423e-07,1.5641767405621954e-08,9.121530920149507e-07
lower_hopf,python,loca,25,215.0,-3.995440169753198,-3.99544226382341,0.01839934579252795,0.018399307263046352,2.09407021189989e-06,3.852948159827063e-08,2.094072404326561e-06
lower_hopf,python,loca,26,216.0,-3.925720434254088,-3.925723693616205,0.019727919081947917,0.0197278547816206,3.2593621170917686e-06,6.430032731610802e-08,3.259367428840425e-06
lower_hopf,python,loca,27,217.0,-3.856703632383061,-3.856708041985752,0.02113756198315428,0.021137468775109584,4.409602690991221e-06,9.320804469567512e-08,4.409612413262661e-06
lower_hopf,python,loca,28,218.0,-3.788391306502436,-3.7883968521571822,0.0226319805020976,0.02263185499329553,5.54565474608637e-06,1.2550880207004567e-07,5.545670123250014e-06
lower_hopf,python,loca,29,219.0,-3.720785940369386,-3.7207926086284737,0.024214928874778732,0.024214767403897577,6.6682590875721814e-06,1.6147088115550656e-07,6.668281320328372e-06
lower_hopf,python,loca,30,220.0,-3.6538910037993526,-3.653898781926918,0.02589019369467122,0.02588999231822513,7.778127565583048e-06,2.013764460878642e-07,7.778157815292446e-06
lower_hopf,python,loca,31,221.0,-3.587710996583492,-3.5877198727006734,0.02766157545230726,0.027661329926011786,8.876117181255694e-06,2.4552629547189286e-07,8.876156574127991e-06
lower_hopf,python,loca,32,222.0,-3.522251490796301,-3.522261452276534,0.029532867278651308,0.02953257308904298,9.961480232689723e-06,2.9418960832694463e-07,9.96152984841315e-06
lower_hopf,python,loca,33,223.0,-3.457519170673325,-3.4575302052661434,0.031507830691200264,0.031507483017036216,1.103459281859287e-05,3.476741640487391e-07,1.1034653699908379e-05
lower_hopf,python,loca,34,224.0,-3.393521868970657,-3.393533988691591,0.03359016816496964,0.03358976106397234,1.2119720933956302e-05,4.0710099730167926e-07,1.2119794378005479e-05
lower_hopf,python,loca,35,225.0,-3.3302685986360654,-3.330281692173289,0.03578349237948884,0.035783023850066736,1.3093537223785034e-05,4.685294221068448e-07,1.3093622944500566e-05
lower_hopf,python,loca,36,226.0,-3.2677695784499394,-3.2677836631410844,0.03809129203630062,0.038090755535995204,1.4084691144944372e-05,5.365003054175199e-07,1.4084790334771255e-05
lower_hopf,python,loca,37,227.0,-3.206036251141149,-3.206053246018842,0.04051689419865343,0.04051620562484315,1.6994877693132793e-05,6.885738102826999e-07,1.6995022106919362e-05
lower_hopf,python,loca,38,228.0,-3.1450812923466382,-3.1450905543721417,0.04306342317781152,0.043063024325134876,9.262025503442572e-06,3.9885267664324653e-07,9.26206839612158e-06
lower_hopf,python,loca,39,229.0,-3.0849186086442475,-3.0849341767201803,0.045733756081150614,0.045733044100105355,1.5568075932836933e-05,7.1198104525938e-07,1.5568197115873592e-05
lower_hopf,python,loca,40,230.0,-3.025563322768334,-3.025552509966718,0.0485304752467498,0.048530999999987987,-1.081280161585596e-05,-5.247532381888464e-07,-1.081274315775435e-05
lower_hopf,python,loca,41,231.0,-2.967031744199005,-2.9670311705099777,0.0514558179091997,0.051455847428846305,-5.736890273944084e-07,-2.9519646602138572e-08,-5.736888629219188e-07
lower_hopf,python,loca,42,232.0,-2.909341322402576,-2.90935647598883,0.054511623631969,0.05451079759163721,1.5153586253813245e-05,8.26040331788902e-07,1.5153701069962499e-05
lower_hopf,python,loca,43,233.0,-2.852510582846146,-2.852523056947153,0.05769928005977726,0.05769856031761885,1.2474101006798577e-05,7.19742158407366e-07,1.2474178808714318e-05
lower_hopf,python,loca,44,234.0,-2.796559040503751,-2.796572831647912,0.06101966800266859,0.0610188264774333,1.3791144161334756e-05,8.415252352872438e-07,1.3791239259549944e-05
lower_hopf,python,loca,45,235.0,-2.7415070925785323,-2.741521310398587,0.06447310669596767,0.06447219003545478,1.4217820054618358e-05,9.166605128979599e-07,1.4217921128379021e-05
lower_hopf,python,loca,46,236.0,-2.687375886975432,-2.6873907039741,0.06805930054647849,0.0680582921193839,1.4816998668010228e-05,1.00842709459259e-06,1.481710844027155e-05
lower_hopf,python,loca,47,237.0,-2.6341871661715146,-2.634202520787752,0.0717772887118105,0.07177618660754898,1.535461623758394e-05,1.1021042615189103e-06,1.5354734120174026e-05
lower_hopf,python,loca,48,238.0,-2.5819630858363745,-2.581963085544521,0.07562539905865638,0.07562539908072792,-2.9185365235662175e-10,-2.2071539040879884e-11,-2.9185352155721067e-10
lower_hopf,python,loca,49,239.0,-2.5307260082531613,-2.5307260078024587,0.07960120816830832,0.07960120820418479,-4.5070258636314975e-10,-3.5876468462703315e-11,-4.507025618339449e-10
lower_hopf,python,loca,50,240.0,-2.4804982713013985,-2.4804982708235075,0.08370150914011534,0.08370150918011555,-4.778910600578001e-10,-4.000021147643196e-11,-4.778911619186737e-10
lower_hopf,auto,loca,0,190.0,-5.976855613633333,-5.97682099160565,0.0025367904137218516,0.0025368782440702052,-3.4622027683006706e-05,-8.78303483536208e-08,-3.4621428347583795e-05
lower_hopf,auto,loca,1,191.0,-5.888115047099108,-5.888081852200697,0.0027721972363561474,0.002772289260689143,-3.3194898410471296e-05,-9.202433299540166e-08,-3.3194347465937236e-05
lower_hopf,auto,loca,2,192.0,-5.800234182339503,-5.800202648069234,0.003026845828533711,0.003026941279413109,-3.153427026880706e-05,-9.545087939792293e-08,-3.153377306890797e-05
lower_hopf,auto,loca,3,193.0,-5.713202580026076,-5.713172913582953,0.0033020804160979293,0.0033021783785318706,-2.9666443122522423e-05,-9.79624339412545e-08,-2.966600307788583e-05
lower_hopf,auto,loca,4,194.0,-5.627009931403838,-5.6269823094988025,0.0035993214715710413,0.0035994208930600195,-2.762190503524664e-05,-9.942148897820052e-08,-2.7621523553939845e-05
lower_hopf,auto,loca,5,195.0,-5.541647220519338,-5.541620660406213,0.003920064306796341,0.003920168425530483,-2.6560113124851625e-05,-1.0411873414221257e-07,-2.6559760408284768e-05
lower_hopf,auto,loca,6,196.0,-5.457103294000437,-5.457077987908252,0.004265894908096698,0.004266002862592442,-2.5306092185317652e-05,-1.0795449574465404e-07,-2.5305771988875385e-05
lower_hopf,auto,loca,7,197.0,-5.373368420547565,-5.373344540592315,0.004638480612610529,0.004638591380642547,-2.3879955249661577e-05,-1.1076803201840596e-07,-2.3879670125860957e-05
lower_hopf,auto,loca,8,198.0,-5.290433121037053,-5.290410821680247,0.005039577040092025,0.005039689420671598,-2.2299356806421144e-05,-1.1238057957309311e-07,-2.2299108177606126e-05
lower_hopf,auto,loca,9,199.0,-5.208288195608065,-5.208267614880746,0.005471031011315517,0.005471143610271599,-2.0580727319696734e-05,-1.1259895608180942e-07,-2.0580515537997325e-05
lower_hopf,auto,loca,10,200.0,-5.126924746387052,-5.126906009282269,0.005934783403358467,0.005934894605058758,-1.8737104783284053e-05,-1.1120170029070564e-07,-1.8736929244863093e-05
lower_hopf,auto,loca,11,201.0,-5.046334207122238,-5.046317423557812,0.006432871852256243,0.006432979819681457,-1.6783564426248176e-05,-1.079674252146487e-07,-1.6783423583006813e-05
lower_hopf,auto,loca,12,202.0,-4.966509129348523,-4.96649363006621,0.006967428020938394,0.006967536011909178,-1.5499282313591323e-05,-1.079909707846563e-07,-1.5499162200248985e-05
lower_hopf,auto,loca,13,203.0,-4.887442291214583,-4.887426779180546,0.007540684706424745,0.007540801678689809,-1.5512034036824218e-05,-1.1697226506412334e-07,-1.5511913725921898e-05
lower_hopf,auto,loca,14,204.0,-4.809124792134366,-4.80910942414383,0.008154993890070733,0.008155119216902667,-1.5367990536141463e-05,-1.2532683193317018e-07,-1.5367872449174276e-05
