backend,branch_id,canonical_index,T_K,log_w,w_m_s,table_ii_reference_log_w,table_ii_reference_w_m_s,delta_to_table_ii_log_w,delta_to_table_ii_w_m_s,relative_delta_to_table_ii_w,interpolation_method,raw_T_min_K,raw_T_max_K
loca,upper_hopf,43,233.0,-0.1113298192136117,0.8946436296053155,-0.11145698999999354,0.8945298643053717,0.00012717078638184443,0.00011376529994377993,0.00012717887292910222,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,44,234.0,-0.06306745171156,0.9388801424806981,-0.06262395999999623,0.9392966203874636,-0.00044349171156377043,-0.0004164779067655777,-0.00044339338365103335,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,45,235.0,-0.0160054720762814,0.9841219348502533,-0.014774749999993677,0.9853338610604303,-0.0012307220762877245,-0.0012119262101769612,-0.0012299650484686165,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,46,236.0,0.0298292865990601,1.0302786365699592,0.03209063999999977,1.0326110969333075,-0.0022613534009396676,-0.002332460363348332,-0.002258798467569613,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,47,237.0,0.074409077634357,1.0772473931880129,0.07797220999999159,1.0810926146888526,-0.0035631323656345887,-0.0038452215008397683,-0.003556791942331837,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,48,238.0,0.1177054039755148,1.1249126677489414,0.12286995999999567,1.1307373702988248,-0.005164556024480876,-0.0058247025498834315,-0.005151242634126536,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,49,239.0,0.1596892004025771,1.17314620095812,0.166783890000005,1.181498903988153,-0.0070946895974279,-0.008352703030032993,-0.007069581699854667,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,50,240.0,0.2004302416907703,1.2219283696098238,0.2097139999999982,1.233325278481749,-0.009283758309227896,-0.011396908871925238,-0.009240797274466868,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
python,lower_hopf,0,190.0,-5.976855534251504,0.0025367906150969228,-5.975287000000002,0.002540772780330431,-0.0015685342515023848,-3.98216523350833e-06,-0.0015673047445787119,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
python,lower_hopf,1,191.0,-5.888114612909845,0.002772198440014682,-5.887134570000001,0.0027749166452017957,-0.0009800429098447694,-2.7182051871139055e-06,-0.0009795628246398133,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
python,lower_hopf,2,192.0,-5.800233648986881,0.003026847442910302,-5.799722080000002,0.0030283962803249226,-0.0005115689868784301,-1.5488374146208073e-06,-0.0005114381577745927,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
python,lower_hopf,3,193.0,-5.713202178173351,0.0033020817430482103,-5.713049529999999,0.003302585838268172,-0.00015264817335136627,-5.040952199618191e-07,-0.0001526365232118113,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
python,lower_hopf,4,194.0,-5.627009862888652,0.0035993217181792283,-5.627116919999999,0.003598936405818855,0.0001070571113466201,3.8531236037312594e-07,0.00010706284216363,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
python,lower_hopf,5,195.0,-5.541646529007504,0.003920067017568138,-5.541924250000001,0.003918978483826695,0.0002777209924973434,1.0885337414431873e-06,0.0002777595605424927,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
python,lower_hopf,6,196.0,-5.457102199510431,0.004265899577078597,-5.457471519999999,0.0042643243838518165,0.00036932048956739294,1.5751932267802499e-06,0.0003693886967757909,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
python,lower_hopf,7,197.0,-5.37336712409294,0.004638486626194068,-5.373758730000002,0.0046366705230529905,0.00039160590706188714,1.8161031410772466e-06,0.0003916825946652434,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
python,lower_hopf,8,198.0,-5.290431806518237,0.005039583664715226,-5.290785880000001,0.0050377995976444755,0.00035407348176441644,1.7840670707503295e-06,0.0003541361731785651,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
python,lower_hopf,9,199.0,-5.208287030776894,0.005471037384146689,-5.208552970000003,0.005469582614163923,0.000265939223108802,1.454769982766474e-06,0.0002659745880790301,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
python,lower_hopf,10,200.0,-5.12692388590156,0.005934788510155685,-5.12706,0.005933980756742751,0.00013611409844038747,8.077534129338412e-07,0.00013612336238468507,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
python,lower_hopf,11,201.0,-5.046333790309539,0.006432874533559481,-5.046306970000003,0.006433047067559374,-2.6820309535935394e-05,-1.7253399989258789e-07,-2.6819949874553825e-05,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
