comparison,reference,variable,T_K,log_w,w_m_s,auto_value,reference_value,signed_diff,abs_diff,rel_diff,auto_residual_norm,reference_residual_norm,reference_converged
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-3.6958155159,0.0248271984293085,48332.24928998453,48332.249372981634,-8.299710316350684e-05,8.299710316350684e-05,1.7172199564521678e-09,1.8231710534298732e-13,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-3.6668898772,0.0255558282397755,49743.16558629205,49743.16573893718,-0.00015264513058355078,0.00015264513058355078,3.0686653797762936e-09,1.0776216306858113e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-3.6379642529,0.0263058415340684,51195.270361052346,51195.27052101687,-0.00015996452566469088,0.00015996452566469088,3.1245957690373302e-09,1.1084712783418106e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-3.609038643,0.027077865853462,52689.765993516114,52689.76614492673,-0.00015141061885515228,0.00015141061885515228,2.873624802939668e-09,7.463132997926742e-13,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-3.5801130477,0.0278725471497893,54227.89001492102,54227.890129093685,-0.00011417266796343029,0.00011417266796343029,2.1054233843808678e-09,5.627407225033976e-13,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-3.5511874667,0.0286905503451459,55810.91614080918,55810.91614678327,-5.974085070192814e-06,5.974085070192814e-06,1.0704151593714947e-10,1.3519969000414046e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-3.5222619002,0.0295325598607134,57440.15516161185,57440.15522761779,-6.600593769690022e-05,6.600593769690022e-05,1.1491253363668475e-09,1.764672853295227e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-3.4933363482,0.0303992802085683,59116.9561892609,59116.956313821946,-0.00012456104741431773,0.00012456104741431773,2.107027411104968e-09,1.782405632169627e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-3.4644108105,0.0312914365819511,60842.70772174536,60842.70789199665,-0.00017025128909153864,0.00017025128909153864,2.7982201152807956e-09,1.275371777126013e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-3.4354852873,0.0322097754435829,62618.83879297628,62618.83898160911,-0.00018863282457459718,0.00018863282457459718,3.012397349462162e-09,3.665539050428596e-13,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-3.4065597785,0.0331550651715646,64446.82022066854,64446.8203391021,-0.00011843356332974508,0.00011843356332974508,1.8376944387105375e-09,1.0181006791974897e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-3.3776342841,0.0341280966899874,66328.1656347501,66328.16565217922,-1.7429119907319546e-05,1.7429119907319546e-05,2.62771022475079e-10,8.138018963161156e-13,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-3.3487088041,0.0351296841336926,68264.43291688699,68264.43295699294,-4.0105951484292746e-05,4.0105951484292746e-05,5.875087471913781e-10,1.4886363212961166e-12,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-3.3197833385,0.0361606655294116,70257.22542978496,70257.22557160522,-0.00014182025915943086,0.00014182025915943086,2.0185861027900903e-09,5.745891356532642e-13,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-3.2908578873,0.0372219034968926,72308.19334499963,72308.19356286612,-0.00021786648721899837,0.00021786648721899837,3.01302627660835e-09,7.216103911838837e-14,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,-3.2619324505,0.0383142859706034,74419.03508393189,74419.03527440828,-0.00019047639216296375,0.00019047639216296375,2.559511709075676e-09,1.2067787423547012e-13,,True
