T_K,p_Pa,F,log_w,w_m_s,log_n,log_q,n,q,s,converged,iterations,message,residual_norm
190.0,30000.0,1.0,-1.9031541231868467,0.14909760458230992,12.551278250255521,-13.914692061062986,282456.052262814,9.055783278336145e-07,1.5917505223098678,True,7,The solution converged.,2.8106490847018476e-18
190.0,30000.0,1.0,-1.8781896875738968,0.1528665917089042,12.576116852570882,-13.889745996878881,289559.7232282035,9.284530741224673e-07,1.5918353168273522,True,7,The solution converged.,6.97954462546849e-18
190.0,30000.0,1.0,-1.853225251960947,0.15673085376630796,12.600955477644177,-13.864799925278039,296842.0557903811,9.519056394636436e-07,1.5919201113874906,True,7,The solution converged.,6.092727657946611e-18
190.0,30000.0,1.0,-1.828260816347997,0.1606927991767672,12.625794125468413,-13.839853846263084,304307.5435637142,9.759506198169726e-07,1.5920049059902688,True,7,The solution converged.,3.671366002897812e-18
190.0,30000.0,1.0,-1.803296380735047,0.16475489724420658,12.650632796036598,-13.814907759836638,311960.7931880598,1.000602979846939e-06,1.592089700635673,True,7,The solution converged.,3.780438705154473e-18
190.0,30000.0,1.0,-1.7783319451220971,0.16891967969323635,12.675471489341747,-13.789961666001325,319806.5271717396,1.0258780622365319e-06,1.5921744953236892,True,7,The solution converged.,2.1737277219464e-18
190.0,30000.0,1.0,-1.7533675095091472,0.17318974224706346,12.700310205376873,-13.765015564759763,327849.5868060228,1.0517915972363962e-06,1.5922592900543036,True,7,The solution converged.,3.0532794974154403e-18
190.0,30000.0,1.0,-1.7284030738961973,0.1775677462452901,12.725148944134997,-13.74006945611457,336094.9351529295,1.0783597124551867e-06,1.5923440848275023,True,7,The solution converged.,3.229871292961988e-18
190.0,30000.0,1.0,-1.7034386382832474,0.18205642030260805,12.749987705609138,-13.715123340068367,344547.66010818013,1.1055989428972504e-06,1.5924288796432715,True,7,The solution converged.,7.187839837497962e-18
190.0,30000.0,1.0,-1.6784742026702975,0.18665856200942246,12.774826489792325,-13.69017721662377,353212.9775412007,1.133526241253874e-06,1.5925136745015975,True,7,The solution converged.,3.3918850173302503e-18
190.0,30000.0,1.0,-1.6535097670573475,0.19137703967546532,12.799665296677581,-13.665231085783391,362096.23451410444,1.162158988454507e-06,1.5925984694024662,True,7,The solution converged.,5.755297130514899e-18
190.0,30000.0,1.0,-1.6285453314443976,0.19621479411748496,12.824504126257942,-13.64028494754985,371202.9125816541,1.1915150044845013e-06,1.592683264345864,True,7,The solution converged.,3.144274043557599e-18
190.0,30000.0,1.0,-1.6035808958314477,0.20117484049212603,12.849342978526439,-13.615338801925754,380538.63117422303,1.221612559476155e-06,1.5927680593317766,True,7,The solution converged.,9.491264801532554e-18
190.0,30000.0,1.0,-1.5786164602184978,0.2062602701751422,12.874181853476108,-13.59039264891372,390109.1510658608,1.2524703850798952e-06,1.5928528543601908,True,7,The solution converged.,5.853414027671316e-18
190.0,30000.0,1.0,-1.5536520246055479,0.21147425268811285,12.899020751099991,-13.565446488516356,399920.37792959326,1.284107686122752e-06,1.5929376494310923,True,7,The solution converged.,7.118973373941878e-18
