T_K,p_Pa,F,N_a_m3,log_w,w_m_s,log_n,log_q,n,q,s,converged,iterations,message,residual_norm
190.0,30000.0,1.0,10000000000.0,-2.776909369640094,0.06223054207301277,11.699960835441503,-14.785106544374406,120566.99294093502,3.7923622374493796e-07,1.5768729686408731,True,7,The solution converged.,5.192719609874338e-18
190.0,30000.0,1.0,10000000000.0,-2.751944934027144,0.06380364656795916,11.724795333452823,-14.760161823296096,123598.70337446217,3.8881514058048847e-07,1.5769577554533816,True,7,The solution converged.,4.263564898084915e-18
190.0,30000.0,1.0,10000000000.0,-2.726980498414194,0.0654165170310232,11.74962985549828,-14.735217094321412,126706.65055479227,3.9863600909615084e-07,1.5770425423110803,True,7,The solution converged.,2.001508538510423e-18
190.0,30000.0,1.0,10000000000.0,-2.702016062801244,0.06707015869245214,11.77446440157032,-14.710272357453198,129892.75164085568,4.08704940772687e-07,1.577127329213954,True,7,The solution converged.,9.38264308440396e-18
190.0,30000.0,1.0,10000000000.0,-2.6770516271882943,0.06876560219336322,11.799298971661381,-14.6853276126943,133158.97200509548,4.1902820146328864e-07,1.5772121161619883,True,7,The solution converged.,4.32835264425034e-18
190.0,30000.0,1.0,10000000000.0,-2.6520871915753443,0.07050390422809653,11.824133565763914,-14.66038286004756,136507.32644600936,4.2961221529298465e-07,1.5772969031551676,True,7,The solution converged.,6.117271608067876e-18
190.0,30000.0,1.0,10000000000.0,-2.6271227559623944,0.07228614820280532,11.848968183870365,-14.635438099515822,139939.88043118373,4.404635686565449e-07,1.577381690193477,True,7,The solution converged.,9.169126380329034e-18
190.0,30000.0,1.0,10000000000.0,-2.6021583203494445,0.0741134449106948,11.873802825973193,-14.610493331101924,143458.75137159435,4.51589014317373e-07,1.5774664772769016,True,7,The solution converged.,9.313857769872523e-18
190.0,30000.0,1.0,10000000000.0,-2.5771938847364946,0.07598693322433003,11.898637492064852,-14.585548554808708,147066.10992795238,4.6299547560993604e-07,1.5775512644054266,True,7,The solution converged.,1.7207643292206614e-18
190.0,30000.0,1.0,10000000000.0,-2.5522294491235447,0.07790778080544443,11.923472182137806,-14.560603770639009,150764.18134990928,4.746900507483514e-07,1.5776360515790364,True,7,The solution converged.,6.515527415496481e-18
190.0,30000.0,1.0,10000000000.0,-2.5272650135105947,0.07987718483269123,11.948306896184514,-14.535658978595665,154555.24684893922,4.866800172438018e-07,1.5777208387977166,True,7,The solution converged.,3.323484088421857e-18
190.0,30000.0,1.0,10000000000.0,-2.502300577897645,0.08189637274779156,11.973141634197447,-14.51071417868151,158441.6450057545,4.989728364335424e-07,1.577805626061452,True,7,The solution converged.,4.537814874091759e-18
190.0,30000.0,1.0,10000000000.0,-2.477336142284695,0.08396660302054416,11.997976396169076,-14.48576937089938,162425.7732131148,5.115761581243066e-07,1.5778904133702274,True,7,The solution converged.,6.546261634432038e-18
190.0,30000.0,1.0,10000000000.0,-2.452371706671745,0.0860891659331735,12.022811182091873,-14.460824555252106,166510.0891549245,5.244978253530046e-07,1.5779752007240282,True,7,The solution converged.,6.387849084433624e-18
190.0,30000.0,1.0,10000000000.0,-2.427407271058795,0.08826538438450515,12.047645991958317,-14.435879731742519,170697.11232253182,5.377458792676809e-07,1.5780599881228392,True,7,The solution converged.,8.887639688315158e-18
190.0,30000.0,1.0,10000000000.0,-2.402442835445845,0.09049661471446961,12.07248082576089,-14.410934900373451,174989.42556916128,5.513285641317589e-07,1.5781447755666458,True,7,The solution converged.,2.9770301142085817e-18
190.0,30000.0,1.0,10000000000.0,-2.377478399832895,0.09278424754944857,12.097315683492072,-14.385990061147728,179389.67670344238,5.652543324547046e-07,1.5782295630554326,True,7,The solution converged.,2.7507997469665338e-18
190.0,30000.0,1.0,10000000000.0,-2.3525139642199453,0.09512970866899027,12.122150565144356,-14.36104521406818,183900.5801230174,5.795318502522751e-07,1.5783143505891848,True,7,The solution converged.,5.2032431518774025e-18
190.0,30000.0,1.0,10000000000.0,-2.3275495286069954,0.09753445989443438,12.14698547071023,-14.336100359137632,188524.91848923228,5.941700024396608e-07,1.5783991381678875,True,7,The solution converged.,9.186764136044009e-18
190.0,30000.0,1.0,10000000000.0,-2.3025850929940455,0.10000000000000002,12.171820400182188,-14.311155496358907,193265.54444394988,6.091778983608411e-07,1.578483925791526,True,7,The solution converged.,3.915532196566401e-18
190.0,30000.0,1.0,10000000000.0,-2.2776206573810955,0.10252786564690491,12.196655353552732,-14.28621062573483,198125.3823695432,6.245648774576253e-07,1.578568713460085,True,7,The solution converged.,4.786011300391801e-18
190.0,30000.0,1.0,10000000000.0,-2.2526562217681456,0.10511963234109784,12.221490330814357,-14.26126574726822,203107.4301931478,6.403405150818889e-07,1.5786535011735499,True,7,The solution converged.,1.9409479947922063e-18
190.0,30000.0,1.0,10000000000.0,-2.2276917861551957,0.10777691541520117,12.246325331959572,-14.236320860961904,208214.76123630104,6.565146284546244e-07,1.5787382889319055,True,7,The solution converged.,2.473716946179211e-18
190.0,30000.0,1.0,10000000000.0,-2.2027273505422458,0.11050137103527578,12.271160356980882,-14.211375966818695,213450.5261110929,6.730972827755317e-07,1.578823076735137,True,7,The solution converged.,5.663311779285047e-18
190.0,30000.0,1.0,10000000000.0,-2.177762914929296,0.11329469723303544,12.2959954058708,-14.186431064841415,218817.95466401195,6.900987974869194e-07,1.5789078645832297,True,7,The solution converged.,2.811708269776845e-18
190.0,30000.0,1.0,10000000000.0,-2.152798479316346,0.11615863496415425,12.32083047862184,-14.161486155032879,224320.35796867852,7.075297526958504e-07,1.5789926524761686,True,7,The solution converged.,1.8036838221139775e-18
190.0,30000.0,1.0,10000000000.0,-2.127834043703396,0.11909496919332677,12.34566557522652,-14.136541237395901,229961.13036869574,7.254009957585022e-07,1.5790774404139387,True,7,The solution converged.,2.573412526973229e-18
190.0,30000.0,1.0,10000000000.0,-2.102869608090446,0.12210553000675683,12.37050069567736,-14.1115963119333,235743.75157188272,7.437236480308486e-07,1.5791622283965252,True,7,The solution converged.,4.935795473523844e-18
190.0,30000.0,1.0,10000000000.0,-2.077905172477496,0.1251921937527688,12.395335839966888,-14.086651378647884,241671.78879717604,7.62509111789874e-07,1.5792470164239132,True,7,The solution converged.,9.608145307133943e-18
190.0,30000.0,1.0,10000000000.0,-2.0529407368645463,0.12835688421125166,12.420171008087628,-14.061706437542467,247748.89897553035,7.81769077329612e-07,1.579331804496088,True,7,The solution converged.,9.085197851247292e-18
190.0,30000.0,1.0,10000000000.0,-2.0279763012515963,0.13160157379266538,12.445006200032113,-14.036761488619858,253978.83100617296,8.015155302364306e-07,1.5794165926130348,True,7,The solution converged.,4.484895652299722e-18
190.0,30000.0,1.0,10000000000.0,-2.0030118656386464,0.13492828476735635,12.469841415792878,-14.011816531882866,260365.42806960482,8.217607588480959e-07,1.5795013807747385,True,7,The solution converged.,4.9471073823565075e-18
190.0,30000.0,1.0,10000000000.0,-1.9780474300256965,0.13833909052594837,12.49467665536246,-13.9868715673343,266912.6299987746,8.425173619012549e-07,1.5795861689811843,True,7,The solution converged.,3.843455593802904e-18
190.0,30000.0,1.0,10000000000.0,-1.9530829944127466,0.14183611687159448,12.5195119187334,-13.961926594976964,273624.4757098934,8.637982563720908e-07,1.5796709572323575,True,7,The solution converged.,2.5919982838057515e-18
190.0,30000.0,1.0,10000000000.0,-1.9281185587997967,0.1454215433448954,12.544347205898244,-13.936981614813664,280505.1056943831,8.856166855150392e-07,1.5797557455282432,True,7,The solution converged.,3.260064912824751e-18
190.0,30000.0,1.0,10000000000.0,-1.9031541231868467,0.14909760458230992,12.569182516849539,-13.912036626847204,287558.7645735016,9.079862271045632e-07,1.5798405338688264,True,7,The solution converged.,8.103774446471368e-18
190.0,30000.0,1.0,10000000000.0,-1.8781896875738968,0.1528665917089042,12.594017851579837,-13.887091631080386,294789.8037172205,9.309208018851155e-07,1.5799253222540928,True,7,The solution converged.,3.169153757601004e-18
190.0,30000.0,1.0,10000000000.0,-1.853225251960947,0.15673085376630796,12.618853210081692,-13.862146627516012,302202.6839289671,9.544346822345529e-07,1.580010110684027,True,7,The solution converged.,7.27696463046973e-18
190.0,30000.0,1.0,10000000000.0,-1.828260816347997,0.1606927991767672,12.643688592347662,-13.837201616156879,309801.97819789365,9.785425010463909e-07,1.5800948991586146,True,7,The solution converged.,7.269555053533595e-18
190.0,30000.0,1.0,10000000000.0,-1.803296380735047,0.16475489724420658,12.66852399837031,-13.812256597005787,317592.3745203691,1.0032592608364199e-06,1.5801796876778407,True,7,The solution converged.,6.444275500131169e-18
190.0,30000.0,1.0,10000000000.0,-1.7783319451220971,0.16891967969323635,12.693359428142196,-13.787311570065535,325578.67879243003,1.0286003430793632e-06,1.5802644762416904,True,7,The solution converged.,7.60556647515206e-18
190.0,30000.0,1.0,10000000000.0,-1.7533675095091472,0.17318974224706346,12.718194881655892,-13.762366535338916,333765.8177749875,1.0545815177813881e-06,1.5803492648501491,True,7,The solution converged.,6.791641219392548e-18
190.0,30000.0,1.0,10000000000.0,-1.7284030738961973,0.1775677462452901,12.743030358903969,-13.737421492828725,342158.8421336067,1.0812189532944062e-06,1.580434053503202,True,7,The solution converged.,7.746036559279665e-18
190.0,30000.0,1.0,10000000000.0,-1.7034386382832474,0.18205642030260805,12.767865859878999,-13.712476442537758,350762.92955474026,1.1085292263782902e-06,1.5805188422008343,True,7,The solution converged.,6.0465471991957975e-18
190.0,30000.0,1.0,10000000000.0,-1.6784742026702975,0.18665856200942246,12.792701384573562,-13.687531384468803,359583.3879403444,1.1365293325172863e-06,1.5806036309430311,True,7,The solution converged.,6.7161672174149385e-18
190.0,30000.0,1.0,10000000000.0,-1.6535097670573475,0.19137703967546532,12.81753693298024,-13.662586318624653,368625.65868283727,1.1652366964969875e-06,1.580688419729778,True,7,The solution converged.,6.170784869562388e-18
190.0,30000.0,1.0,10000000000.0,-1.6285453314443976,0.19621479411748496,12.842372505091614,-13.637641245008096,377895.32002242835,1.1946691832485132e-06,1.5807732085610597,True,7,The solution converged.,8.786249189799403e-18
190.0,30000.0,1.0,10000000000.0,-1.6035808958314477,0.20117484049212603,12.867208100900275,-13.61269616362192,387398.0904888928,1.2248451089666042e-06,1.5808579974368622,True,7,The solution converged.,4.1752175021373484e-18
