backend,schema_version,branch_id,T_K,temperature_K,p_Pa,pressure_Pa,F,N_a_m3,log_w,w_m_s,log_n,log_q,n,n_kg_dry_air_inv,q,q_kg_kg,s,residual_norm,converged,stability,backend_step_index,source_file,auto_branch,auto_point,auto_type_code,auto_label,auto_l2_norm
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-3.9850726998,0.018591092704885792,10.498114764,-15.992306286,36247.10387544409,36247.10387544409,1.1340432738718822e-07,1.1340432738718822e-07,1.572769733,4.480695830806604e-13,True,,46,raw/bs2026_T190K/b.bs2026_T190K,1,47,0,0,19.1947357
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-3.9561469162,0.019136707758314442,10.526888636,-15.963403792,37305.223498445564,37305.223498445564,1.1672982131940592e-07,1.1672982131940592e-07,1.5728679712,4.4386304029782445e-13,True,,47,raw/bs2026_T190K/b.bs2026_T190K,1,48,0,0,19.186442052
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-3.927221147,0.01969833534622817,10.555662526,-15.934501301,38394.232270292225,38394.232270292225,1.2015283242112197e-07,1.2015283242112197e-07,1.5729662094,1.0274691306768397e-12,True,,48,raw/bs2026_T190K/b.bs2026_T190K,1,49,0,0,19.17823156
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-3.8982953924,0.020276445386940622,10.584436434,-15.905598813,39515.03194239485,39515.03194239485,1.2367622028654688e-07,1.2367622028654688e-07,1.5730644477,1.5292340823939842e-12,True,,49,raw/bs2026_T190K/b.bs2026_T190K,1,50,0,0,19.170104329
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-3.8693696523,0.020871521595192212,10.613210361,-15.87669633,40668.55063238171,40668.55063238171,1.273029281097375e-07,1.273029281097375e-07,1.5731626859,2.8928450063212056e-13,True,,50,raw/bs2026_T190K/b.bs2026_T190K,1,51,0,0,19.162060467
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-3.8404439267,0.02148406187914216,10.641984305,-15.84779385,41855.7434311714,41855.7434311714,1.3103598589241272e-07,1.3103598589241272e-07,1.5732609242,1.799060243626077e-12,True,,51,raw/bs2026_T190K/b.bs2026_T190K,1,52,0,0,19.154100078
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-3.8115182156,0.022114578758859645,10.670758269,-15.818891373,43077.59352061074,43077.59352061074,1.3487851224037903e-07,1.3487851224037903e-07,1.5733591624,6.751300670063456e-13,True,,52,raw/bs2026_T190K/b.bs2026_T190K,1,53,0,0,19.146223266
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-3.7825925189,0.022763599797402355,10.69953225,-15.789988901,44335.112530614395,44335.112530614395,1.3883371693142177e-07,1.3883371693142177e-07,1.5734574007,1.8753070813697297e-13,True,,53,raw/bs2026_T190K/b.bs2026_T190K,1,54,0,0,19.138430135
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-3.7536668368,0.023431668033163457,10.72830625,-15.761086432,45629.34184121091,45629.34184121091,1.429049044136724e-07,1.429049044136724e-07,1.573555639,5.132637486128204e-13,True,,54,raw/bs2026_T190K/b.bs2026_T190K,1,55,0,0,19.130720788
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-3.7247411691,0.02411934245008153,10.757080268,-15.732183967,46961.35310136077,46961.35310136077,1.4709547561764992e-07,1.4709547561764992e-07,1.5736538773,4.3703386995873607e-13,True,,55,raw/bs2026_T190K/b.bs2026_T190K,1,56,0,0,19.123095324
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-3.6958155159,0.024827198429308594,10.785854304,-15.703281506,48332.249289984524,48332.249289984524,1.514089313408068e-07,1.514089313408068e-07,1.5737521156,1.823171053429873e-13,True,,56,raw/bs2026_T190K/b.bs2026_T190K,1,57,0,0,19.115553846
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-3.6668898772,0.025555828239775577,10.814628358,-15.674379048,49743.16558629205,49743.16558629205,1.5584887519300713e-07,1.5584887519300713e-07,1.5738503539,1.0776216306858113e-12,True,,57,raw/bs2026_T190K/b.bs2026_T190K,1,58,0,0,19.108096452
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-3.6379642529,0.026305841534068484,10.843402431,-15.645476594,51195.270361052346,51195.270361052346,1.6041901614838144e-07,1.6041901614838144e-07,1.5739485923,1.1084712783418106e-12,True,,58,raw/bs2026_T190K/b.bs2026_T190K,1,59,0,0,19.10072324
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-3.609038643,0.027077865853462092,10.872176522,-15.616574144,52689.765993516114,52689.765993516114,1.6512317209352756e-07,1.6512317209352756e-07,1.5740468306,7.463132997926742e-13,True,,59,raw/bs2026_T190K/b.bs2026_T190K,1,60,4,4,19.09343431
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-3.5801130477,0.02787254714978934,10.900950631,-15.587671697,54227.89001492102,54227.89001492102,1.6996527303977498e-07,1.6996527303977498e-07,1.574145069,5.627407225033975e-13,True,,60,raw/bs2026_T190K/b.bs2026_T190K,1,61,0,0,19.086229756
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-3.5511874667,0.028690550345145917,10.929724759,-15.558769254,55810.91614080918,55810.91614080918,1.7494936390617478e-07,1.7494936390617478e-07,1.5742433074,1.3519969000414046e-12,True,,61,raw/bs2026_T190K/b.bs2026_T190K,1,62,0,0,19.079109675
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-3.5222619002,0.029532559860713438,10.958498905,-15.529866815,57440.15516161185,57440.15516161185,1.8007960838908182e-07,1.8007960838908182e-07,1.5743415458,1.764672853295227e-12,True,,62,raw/bs2026_T190K/b.bs2026_T190K,1,63,0,0,19.072074162
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-3.4933363482,0.030399280208568323,10.987273069,-15.50096438,59116.9561892609,59116.9561892609,1.8536029228001034e-07,1.8536029228001034e-07,1.5744397842,1.7824056321696267e-12,True,,63,raw/bs2026_T190K/b.bs2026_T190K,1,64,0,0,19.06512331
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-3.4644108105,0.03129143658195119,11.016047251,-15.472061948,60842.707721745355,60842.707721745355,1.9079582723669795e-07,1.9079582723669795e-07,1.5745380226,1.275371777126013e-12,True,,64,raw/bs2026_T190K/b.bs2026_T190K,1,65,0,0,19.058257211
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-3.4354852873,0.0322097754435829,11.044821451,-15.44315952,62618.838792976276,62618.838792976276,1.9639075390716536e-07,1.9639075390716536e-07,1.574636261,3.6655390504285957e-13,True,,65,raw/bs2026_T190K/b.bs2026_T190K,1,66,0,0,19.051475959
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-3.4065597785,0.03315506517156465,11.07359567,-15.414257096,64446.82022066854,64446.82022066854,2.0214974627353367e-07,2.0214974627353367e-07,1.5747344994,1.0181006791974895e-12,True,,66,raw/bs2026_T190K/b.bs2026_T190K,1,67,0,0,19.044779642
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-3.3776342841,0.03412809668998741,11.102369907,-15.385354675,66328.1656347501,66328.1656347501,2.0807761558457733e-07,2.0807761558457733e-07,1.5748327379,8.138018963161156e-13,True,,67,raw/bs2026_T190K/b.bs2026_T190K,1,68,0,0,19.038168351
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-3.3487088041,0.035129684133692655,11.131144162,-15.356452258,68264.43291688699,68264.43291688699,2.141793137627428e-07,2.141793137627428e-07,1.5749309763,1.4886363212961164e-12,True,,68,raw/bs2026_T190K/b.bs2026_T190K,1,69,0,0,19.031642175
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-3.3197833385,0.036160665529411606,11.159918435,-15.327549845,70257.22542978496,70257.22542978496,2.2045993814141103e-07,2.2045993814141103e-07,1.5750292148,5.745891356532642e-13,True,,69,raw/bs2026_T190K/b.bs2026_T190K,1,70,0,0,19.025201201
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-3.2908578873,0.03722190349689261,11.188692726,-15.298647435,72308.19334499963,72308.19334499963,2.2692473575364343e-07,2.2692473575364343e-07,1.5751274533,7.216103911838837e-14,True,,70,raw/bs2026_T190K/b.bs2026_T190K,1,71,0,0,19.018845516
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-3.2619324505,0.0383142859706034,11.217467036,-15.269745029,74419.03508393189,74419.03508393189,2.335791070477888e-07,2.335791070477888e-07,1.5752256918,1.2067787423547012e-13,True,,71,raw/bs2026_T190K/b.bs2026_T190K,1,72,0,0,19.012575205
