start,cycle_index,start_time_s,end_time_s,period_s,s_max,s_min,s_amplitude,period_relative_drift,amplitude_relative_drift
n_plus_1pct,1,612.18993842456609,1409.1515584569504,796.9616200323843,1.4684262634930227,1.4680765911721436,0.00034967232087912414,,
n_plus_1pct,2,1409.1515584569504,2206.6461583149553,797.4945998580049,1.468459292131681,1.4680447563640142,0.00041453576766681266,0.00066876473373829839,0.1854978015549327
n_plus_1pct,3,2206.6461583149553,3003.6525228321862,797.00636451723085,1.4684982648339455,1.4680069500608444,0.00049131477310115912,0.00061221146934535336,0.18521684115822393
n_plus_1pct,4,3003.6525228321862,3801.0733248739598,797.42080204177364,1.4685441834607411,1.4679615558686407,0.00058262759210037096,0.00051999274158096259,0.18585400643023411
n_plus_1pct,5,3801.0733248739598,4598.6276188693973,797.55429399543755,1.4685980689746989,1.4679076148369741,0.00069045413772483855,0.00016740465425795753,0.18506941155284659
n_plus_1pct,6,4598.6276188693973,5396.2690312504155,797.6414123810182,1.4686617215325326,1.4678428947861362,0.00081882674639643938,0.00010923191842429033,0.1859248886459135
n_plus_1pct,7,5396.2690312504155,6194.4298609825619,798.16082973214634,1.4687364478483464,1.4677656768662126,0.0009707709821338284,0.00065119155433221757,0.18556335196191112
n_plus_1pct,8,6194.4298609825619,6992.7863127423652,798.35645175980335,1.4688239656848268,1.4676730775194118,0.0011508881654149761,0.00024509098964761001,0.18554034535028685
n_plus_1pct,9,6992.7863127423652,7791.5571349510656,798.77082220870034,1.4689263013267035,1.4675619030905256,0.001364398236177955,0.00051902937338778841,0.18551765252186211
n_plus_1pct,10,7791.5571349510656,8591.3714136343315,799.81427868326591,1.4690458624422635,1.4674280685301686,0.0016177939120949336,0.0013063277294985401,0.18571973284486781
n_plus_1pct,11,8591.3714136343315,9392.1472678164246,800.7758541820931,1.4691849539968909,1.4672663474610044,0.0019186065358864912,0.0012022484774968372,0.18594001469694346
n_plus_1pct,12,9392.1472678164246,10194.431340118175,802.28407230175071,1.4693461146134537,1.4670707461024193,0.0022753685110343813,0.0018834460502035197,0.18594848316986912
n_plus_1pct,13,10194.431340118175,10998.955033049138,804.52369293096308,1.4695326695747881,1.4668325446788695,0.002700124895918643,0.0027915556428621383,0.18667586495304345
