T_K,p_Pa,F,N_a_m3,log_w,w_m_s,log_n,log_q,s,n,q,branch,point,type_code,label
210.0,30000.0,1.0,10000000000.0,-1.0924297384,0.3354005672266215,12.363492241,-11.78645617,1.5237298007,234097.32835391056,7.60688979019525e-06,1,-147,0,0
210.0,30000.0,1.0,10000000000.0,-1.0635044155,0.34524381013478056,12.392269355,-11.757556402,1.5238154574,240931.8409891543,7.829934588152256e-06,1,-148,0,0
210.0,30000.0,1.0,10000000000.0,-1.0345791061,0.35537592501069093,12.421046486,-11.728656638,1.5239011142,247965.89263711695,8.059519343705124e-06,1,-149,0,0
210.0,30000.0,1.0,10000000000.0,-1.0056538102,0.36580538930722073,12.449823633,-11.699756877,1.523986771,255205.30886527125,8.295835824091868e-06,1,-150,0,0
210.0,30000.0,1.0,10000000000.0,-0.97672852769,0.37654092930019917,12.478600798,-11.670857119,1.5240724278,262656.0860959516,8.539081411545439e-06,1,-151,0,0
210.0,30000.0,1.0,10000000000.0,-0.94780325864,0.38759152728277957,12.507377979,-11.641957365,1.5241580846,270324.39479335357,8.789459266971365e-06,1,-152,0,0
210.0,30000.0,1.0,10000000000.0,-0.91887800302,0.3989664291821968,12.536155177,-11.613057613,1.5242437414,278216.5863690568,9.04717853454188e-06,1,-153,0,0
210.0,30000.0,1.0,10000000000.0,-0.88995276083,0.41067515224746565,12.564932392,-11.584157865,1.5243293982,286339.19741463865,9.312454455082053e-06,1,-154,0,0
210.0,30000.0,1.0,10000000000.0,-0.86102753207,0.42272749302281565,12.593709623,-11.555258121,1.524415055,294698.9550764635,9.585508598066107e-06,1,-155,0,0
210.0,30000.0,1.0,10000000000.0,-0.83210231674,0.43513353554381295,12.622486872,-11.526358379,1.5245007119,303302.7837982404,9.866569049332945e-06,1,-156,0,0
210.0,30000.0,1.0,10000000000.0,-0.80317711483,0.44790365977847746,12.651264137,-11.497458641,1.5245863687,312157.80900130735,1.0155870543530515e-05,1,-157,0,0
210.0,30000.0,1.0,10000000000.0,-0.77425192633,0.46104855030754344,12.680041418,-11.468558906,1.5246720256,321271.3647376089,1.0453654727577143e-05,1,-158,0,0
210.0,30000.0,1.0,10000000000.0,-0.74532675123,0.4745792052635519,12.708818717,-11.439659174,1.5247576824,330650.99985311803,1.0760170323869675e-05,1,-159,0,0
210.0,30000.0,1.0,10000000000.0,-0.71640158955,0.48850694551760826,12.737596032,-11.410759445,1.5248433393,340304.4822947138,1.1075673347609864e-05,1,-160,4,9
